(7, '54', 'Secundaria', 'casada', 'Estrato: 2', 'femenino', '4.9', 'Region_1')
(162, '47', 'Secundaria', 'casada', 'Estrato: 1', 'masculino', '4.9', 'Region_1')
(207, '21', 'Profesional', 'casada', 'Estrato: 2', 'femenino', '4.9', 'Region_1')
(137, '70', 'Profesional', 'divorciada', 'Estrato: 2', 'femenino', '4.8', 'Region_1')
(259, '60', 'Secundaria', 'soltera', 'Estrato: 5', 'no binario', '4.8', 'Region_1')
(283, '28', 'Secundaria', 'divorciada', 'Estrato: 1', 'no binario', '4.8', 'Region_1')
(394, '69', 'Profesional', 'divorciada', 'Estrato: 4', 'masculino', '4.8', 'Region_1')
(9, '80', 'Profesional', 'soltera', 'Estrato: 3', 'masculino', '4.5', 'Region_1')
(409, '58', 'Secundaria', 'divorciada', 'Estrato: 2', 'femenino', '4.5', 'Region_1')
(452, '53', 'Secundaria', 'casada', 'Estrato: 2', 'masculino', '4.5', 'Region_1')
(222, '34', 'Profesional', 'soltera', 'Estrato: 2', 'masculino', '4.4', 'Region_1')
(398, '52', 'Secundaria', 'casada', 'Estrato: 1', 'masculino', '4.3', 'Region_1')
(134, '22', 'Secundaria', 'soltera', 'Estrato: 3', 'femenino', '4.2', 'Region_1')
(428, '54', 'Profesional', 'casada', 'Estrato: 3', 'masculino', '4.2', 'Region_1')
(45, '54', 'Secundaria', 'casada', 'Estrato: 3', 'femenino', '4.1', 'Region_1')
(74, '22', 'Profesional', 'casada', 'Estrato: 3', 'femenino', '4.0', 'Region_1')
(281, '53', 'Secundaria', 'casada', 'Estrato: 1', 'masculino', '4.0', 'Region_1')
(33, '26', 'Secundaria', 'casada', 'Estrato: 2', 'masculino', '3.9', 'Region_1')
(356, '79', 'Secundaria', 'divorciada', 'Estrato: 2', 'femenino', '3.9', 'Region_1')
(374, '74', 'Profesional', 'soltera', 'Estrato: 3', 'masculino', '3.9', 'Region_1')
(92, '67', 'Secundaria', 'soltera', 'Estrato: 1', 'femenino', '3.8', 'Region_1')
(115, '51', 'Profesional', 'divorciada', 'Estrato: 2', 'femenino', '3.8', 'Region_1')
(149, '69', 'Profesional', 'casada', 'Estrato: 3', 'masculino', '3.8', 'Region_1')
(175, '79', 'Secundaria', 'casada', 'Estrato: 1', 'masculino', '3.8', 'Region_1')
(321, '52', 'Maestria', 'viuda', 'Estrato: 1', 'femenino', '3.8', 'Region_1')
(366, '74', 'Profesional', 'divorciada', 'Estrato: 2', 'femenino', '3.8', 'Region_1')
(458, '64', 'Secundaria', 'casada', 'Estrato: 2', 'masculino', '3.8', 'Region_1')
(163, '20', 'Profesional', 'viuda', 'Estrato: 1', 'masculino', '3.7', 'Region_1')
(305, '55', 'Secundaria', 'soltera', 'Estrato: 1', 'masculino', '3.7', 'Region_1')
(330, '71', 'Primaria', 'casada', 'Estrato: 2', 'masculino', '3.7', 'Region_1')
(378, '62', 'Secundaria', 'divorciada', 'Estrato: 4', 'femenino', '3.7', 'Region_1')
(400, '76', 'Profesional', 'soltera', 'Estrato: 3', 'no binario', '3.7', 'Region_1')
(110, '80', 'Primaria', 'soltera', 'Estrato: 2', 'femenino', '3.6', 'Region_1')
(111, '73', 'Secundaria', 'divorciada', 'Estrato: 1', 'masculino', '3.6', 'Region_1')
(140, '78', 'Secundaria', 'soltera', 'Estrato: 1', 'masculino', '3.6', 'Region_1')
(210, '45', 'Profesional', 'casada', 'Estrato: 3', 'femenino', '3.6', 'Region_1')
(311, '29', 'Profesional', 'soltera', 'Estrato: 3', 'masculino', '3.6', 'Region_1')
(314, '58', 'Secundaria', 'soltera', 'Estrato: 2', 'femenino', '3.6', 'Region_1')
(338, '26', 'Secundaria', 'soltera', 'Estrato: 2', 'masculino', '3.6', 'Region_1')
(146, '19', 'Profesional', 'divorciada', 'Estrato: 2', 'femenino', '3.5', 'Region_1')
(152, '80', 'Primaria', 'divorciada', 'Estrato: 3', 'femenino', '3.5', 'Region_1')
(302, '75', 'Secundaria', 'viuda', 'Estrato: 3', 'no binario', '3.5', 'Region_1')
(336, '68', 'Secundaria', 'casada', 'Estrato: 2', 'masculino', '3.5', 'Region_1')
(447, '33', 'Secundaria', 'casada', 'Estrato: 2', 'femenino', '3.5', 'Region_1')
